key,날짜,구분,종목코드,종목명,현재가,전일대비,등락률,거래량,거래대금,시가,고가,저가,10일변동가격,10일변동비율,익일시가,10일고가,라벨
4006,20230918,신,058850,KTcs,4420,1020,30.0,44921929,177915,3360,4420,3330,195,0.04,4795,4990,0
4007,20230918,신,288980,모아데이타,3405,785,29.96,32818488,104713,2670,3405,2635,555,0.17,3285,3840,0
4008,20230918,,069410,엔텔스,6570,1510,29.84,4279245,26603,5130,6570,5000,970,0.13,7480,8450,0
4009,20230918,신,000400,롯데손해보험,2390,548,29.75,11680062,26423,1950,2390,1855,565,0.21,2680,3245,1
4010,20230919,증,032500,케이엠더블유,16220,3740,29.97,9167797,139332,12600,16220,12600,1530,0.1,15820,17350,0
4011,20230919,신,054930,유신,51600,11900,29.97,4068784,188924,39100,51600,38800,950,0.02,49550,50500,0
4012,20230919,신,000400,롯데손해보험,3105,715,29.92,78086108,226349,2680,3105,2565,80,0.03,3165,3245,0
4013,20230919,증,088800,에이스테크,3800,875,29.91,23055482,83331,3020,3800,2950,1290,0.35,3705,4995,1
4014,20230919,신,250060,모비스,3500,805,29.87,35292774,115552,2705,3500,2660,3300,0.83,3970,7270,1
4015,20230920,신,250060,모비스,4550,1050,30.0,54670630,236644,3970,4550,3920,2370,0.48,4900,7270,1
4016,20230920,,177830,파버나인,5260,1210,29.88,4597582,23226,4025,5260,4010,280,0.05,5580,5860,0
4017,20230921,신,208370,셀바스헬스케어,12870,2970,30.0,31056533,381901,11480,12870,11190,390,0.03,12700,13090,0
4018,20230921,신,123420,위메이드플레이,9840,2270,29.99,2218484,21497,8690,9840,8580,1290,0.14,8950,10240,0
4019,20230921,신,002800,신신제약,6460,1490,29.98,4241757,25897,4955,6460,4950,1250,0.18,6800,8050,0
4020,20230921,신,101730,위메이드맥스,10930,2520,29.96,1468205,15902,10490,10930,10110,1660,0.16,10340,12000,0
4021,20230921,신,250060,모비스,5910,1360,29.89,35867967,198840,4900,5910,4880,420,0.06,6850,7270,0
4022,20230921,증,215380,우정바이오,3175,730,29.86,3743483,11238,2455,3175,2410,535,0.15,3590,4125,0
4023,20230922,증,021050,서원,1961,452,29.95,43534735,79926,1717,1961,1600,389,0.2,1961,2350,1
4024,20230922,신,330350,위더스제약,9900,2280,29.92,10631937,99092,7560,9900,7180,3600,0.37,9800,13400,1
4025,20230922,신,264850,이랜시스,4560,1050,29.91,26552838,110347,3460,4560,3265,1570,0.31,5000,6570,1
4026,20230922,신,024940,PN풍년,9170,2110,29.89,6329892,55954,7840,9170,7830,1120,0.11,9760,10880,0
4027,20230922,증,088290,이원컴포텍,3285,755,29.84,4307374,13060,2630,3285,2595,265,0.08,3335,3600,0
4028,20230925,,010660,화천기계,4520,1040,29.89,16648259,72067,3610,4520,3600,420,0.09,4930,5350,0
4029,20230925,신,264850,이랜시스,5920,1360,29.82,42076403,226385,5000,5920,4860,70,0.01,6500,6570,0
4030,20230926,증,304360,에스바이오메딕스,11010,2540,29.99,5311460,55348,8590,11010,8460,0,0.0,12130,12130,0
4031,20230926,,328380,솔트웨어,1540,355,29.96,6950920,10385,1363,1540,1299,480,0.3,1625,2105,1
4032,20230926,,004270,남성,2780,640,29.91,28354251,76084,2280,2780,2255,5,0.0,2630,2635,0
4033,20230926,,078890,가온그룹,7300,1680,29.89,6512020,46033,5620,7300,5600,1120,0.15,7310,8430,0
4034,20230927,,065500,오리엔트정공,1469,339,30.0,9764261,13963,1234,1469,1231,16,0.01,1519,1535,0
4035,20230927,신,045660,에이텍,13240,3050,29.93,1947242,25409,13130,13240,12500,840,0.06,14000,14840,0
4036,20230927,신,009420,한올바이오파마,32650,7500,29.82,859415,28056,32650,32650,32650,5950,0.18,33800,39750,0
4037,20231004,증,067730,로지시스,3945,910.0,29.98,3519720,13467,3065,3945,3065,485,0.11,4250,4735,0
4038,20231004,증,036630,세종텔레콤,833,192.0,29.95,30630884,25041,641,833,611,33,0.04,879,912,0
4039,20231004,증,002880,대유에이텍,274,63.0,29.86,54631222,13790,203,274,203,65,0.22,291,356,1
4040,20231005,신,234100,폴라리스세원,2145,495,30.0,6080382,12650,1650,2145,1630,543,0.27,1997,2540,1
4041,20231005,,328380,솔트웨어,1872,432,30.0,53214919,95252,1496,1872,1481,215,0.11,1890,2105,0
4042,20231005,신,041020,폴라리스오피스,5060,1165,29.91,8051296,36714,3970,5060,3835,240,0.04,5500,5740,0
4043,20231005,신,289080,SV인베스트먼트,2235,514,29.87,13748231,29501,1721,2235,1721,95,0.04,2395,2490,0
4044,20231006,신,356680,엑스게이트,4970,1145,29.93,10571579,49741,4215,4970,4210,780,0.15,5200,5980,0
4045,20231006,증,046970,우리로,2105,483,29.78,18375348,37297,1820,2105,1811,435,0.19,2300,2735,0
4046,20231010,,065450,빅텍,4835,1115,29.97,14239817,64472,4325,4835,4070,1635,0.36,4565,6200,1
4047,20231010,신,024060,흥구석유,8070,1860,29.95,9146385,72844,7960,8070,7700,9700,1.17,8270,17970,1
4048,20231010,증,152550,한국ANKOR유전,486,112,29.95,24006592,11102,405,486,393,436,0.78,558,994,1
4049,20231010,신,004090,한국석유,12590,2900,29.93,3969855,48529,11780,12590,11490,7660,0.65,11710,19370,1
4050,20231010,,129920,대성하이텍,8870,2040,29.87,6585038,56048,6770,8870,6770,1880,0.21,8910,10790,1
4051,20231010,증,354200,엔젠바이오,6920,1590,29.83,3328701,22390,5820,6920,5550,540,0.08,6980,7520,0
4052,20231010,신,000440,중앙에너비스,21300,4890,29.8,1676015,33924,18900,21300,18670,12770,0.67,19180,31950,1
4053,20231011,신,094940,푸른기술,10060,2320,29.97,2788977,26613,7980,10060,7820,340,0.03,10860,11200,0
4054,20231011,증,152550,한국ANKOR유전,631,145,29.84,43828579,26330,558,631,557,269,0.37,725,994,1
