단어,빈도수
순이익,37
동기,37
중심,37
긴급,37
나스닥,37
곡물,37
급락,36
단기,36
스튜디오,36
나머지,36
압력,36
믹스,36
일선,36
유입,35
주주총회,35
선임,35
대응,35
브랜드,35
사건,35
나열,35
뉴욕증시,35
기한,35
수가,35
음식,35
아시아,35
자사,35
케이엠,35
매체,34
전하,34
자본,34
선물,34
바탕,34
국내외,34
비롯,34
발언,34
한국어,34
사채,34
철도,34
기능,34
애플,33
도입,33
더욱,33
강화,33
전략,33
엔지니어링,33
보안,33
인베스트먼트,33
실시,33
대형,33
공정,33
낙폭,33
매입,33
사모,33
흐름,33
약국,33
해지,33
보장,33
성실,33
대한항공,33
뉴욕,33
컴퓨터,33
현상,33
주행,33
제시,32
이용,32
업계,32
사례,32
확정,32
블록,32
식품의약품안전처,32
토건,32
구매,32
여부,32
지표,32
원료,32
버스,32
적극,32
원자력,32
입증,31
공모,31
비용,31
기기,31
작업,31
검토,31
전쟁,31
컴퍼니,31
기가스,31
쌍용차,31
지난달,31
복제,31
메타,31
변화,31
이름,31
더블유,31
효성,30
차세대,30
특수,30
바이,30
상반기,30
연구소,30
영화,30
디톡스,30
단계,30
로보틱스,30
신탁,30
미디어,30
교육,30
대체,30
방문,30
갈등,30
팔자,30
해운,30
원전,30
유의,30
구체,29
매물,29
나노,29
통신업,29
일반,29
오토,29
개최,29
에스티,29
경쟁,29
적자,29
사람,29
풍력,29
계열,29
중앙,29
항암제,29
방어,29
대체로,29
모비스,29
부담,29
지지,28
덕분,28
디스플레이,28
인증,28
세미,28
주도,28
부동산,28
권리,28
라인,28
조언,28
중동,28
혜주,28
알미늄,28
북미,28
스마트,28
희토류,28
정치,28
대상자,28
정보기기,28
제지,28
구성,28
병원,28
마시스,28
리더,27
잠재력,27
치매,27
합의,27
흑자,27
제로,27
노스,27
이전,27
전력,27
우선,27
대량,27
앤지,27
반영,27
안전성,27
이벤트,27
신소재,27
금지,27
의미,26
측면,26
면역,26
이차전지,26
지급,26
상환,26
담당,26
예측,26
조합,26
케어,26
이노베이션,26
유통업,26
관광,26
유동성,26
조선,26
유니온,26
수젠텍,26
유진,25
대신,25
연구개발,25
삼화,25
독점,25
문재인,25
네이처,25
네트웍,25
제넥신,25
베트남,25
제철,25
위탁,25
여행,25
컨소시엄,25
수입,25
질환,25
담배,25
인하,25
협약,25
인상,25
우진,25
상향,25
민주당,25
장관,25
금융업,25
단기간,25
대금,24
연간,24
주택,24
설비,24
텔레콤,24
선도,24
평화,24
모터,24
직접,24
진양,24
남선,24
플레이,24
머티리얼즈,24
지노,24
쌍방울,24
이재명,24
엔비디아,24
골드,23
맥스,23
편입,23
소송,23
암호,23
수소,23
전지,23
사회,23
자원,23
잠재,23
줄기세포,23
스템,23
비츠로,23
마이크로,23
사의,23
세력,23
능력,23
소프트,23
발견,23
크리스탈,23
동부,23
소개,23
등록,23
업무,23
관망,23
부정,23
나인,23
질병,23
국산,23
녹십자,23
마스크,23
대성,23
증권사,23
부채,23
비트코인,23
가로,23
물가,23
상품,22
회의,22
보호,22
하반기,22
아프리카,22
제재,22
매장,22
물산,22
반응,22
거나,22
의복,22
품목,22
호실,22
회생,22
창고,22
푸드,22
배열,22
하림,22
모빌리티,22
감염,22
센서,22
그린,22
해상,22
쿠팡,22
나무,21
만기,21
토지,21
자재,21
관계자,21
분위기,21
신세계,21
효율,21
마지막,21
링크,21
동물,21
초기,21
낙관,21
자료,21
당국,21
입금,21
위기,21
주장,21
예고,21
담보,21
방역,21
실험,21
부족,21
시각,21
집계,21
모듈,20
드림,20
시너지,20
증자,20
제안,20
진입,20
베스트,20
고체,20
인도,20
엔진,20
공개시장,20
케이피,20
이사,20
도로,20
사흘,20
루스,20
시멘트,20
삼부,20
검증,20
참고,20
경남,20
재료,20
진원,20
영국,20
관찰,20
출판사,20
풀이,20
둔화,20
과정,20
돼지,20
그래핀,20
미스,20
큐브,20
델타,20
결제,20
화이자,20
상온,20
비트,19
초점,19
치인,19
역할,19
제의,19
출자,19
분율,19
건물,19
생명,19
마켓,19
해결,19
차량,19
리얼,19
연료,19
노력,19
동시,19
파이프라인,19
넥스,19
트럼프,19
에스엠,19
약사,19
닉스,19
소각,19
부가,19
포장,19
장치,19
천연가스,19
숫자,19
경고,19
갤럭시,19
상회,19
피씨,19
렉스,19
기아차,19
연장,19
최종,19
